Designation,Class,ba/t,h/w,Dead Load (kN/m),Area (mmý),Ix (10^6 mm?),Sx (10^3 mm?),rx (mm),Zx (10^3 mm?),Iy (10^6 mm?),Sy (10^3 mm?),ry (mm),Zy (10^3 mm?),J (10^3 mm?),Cw (10^9 mm?),Nominal Mass (kg/m),Theoretical Mass (kg/m),Depth d (mm),Flange Width b (mm),Flange Thickness t (mm),Web Thickness w (mm),Distance a (mm),Distance T (mm),Distance k (mm),Distance k? (mm),d-2t (mm),Surface Area Total (mý/m),Surface Area Minus Top Flange (mý/m),Imperial Designation
W760x195,1,5.28,46.1,1.93,25100.0,2400.0,6240.0,309.0,7170.0,81.7,610.0,57.1,959.0,4040.0,11.3,217.0,217.9,628.0,328.0,27.7,16.5,156.0,510.0,59.0,38.0,573.0,2.54,2.21,W24x146
W760x185,1,5.66,48.2,1.81,23500.0,2230.0,5820.0,308.0,6690.0,75.1,563.0,56.5,884.0,3330.0,10.3,195.0,195.6,622.0,327.0,24.4,15.4,156.0,510.0,56.0,38.0,573.0,2.52,2.19,W24x131
W760x173,1,6.18,49.9,1.7,22100.0,2060.0,5400.0,305.0,6210.0,68.7,515.0,55.7,810.0,2890.0,9.42,174.0,174.3,616.0,325.0,21.6,14.0,156.0,510.0,53.0,37.0,573.0,2.5,2.18,W24x117
W760x161,1,6.89,52.1,1.57,20500.0,1860.0,4900.0,302.0,5660.0,60.7,457.0,54.5,720.0,2070.0,8.28,155.0,154.9,611.0,324.0,19.0,12.7,156.0,510.0,51.0,36.0,573.0,2.49,2.17,W24x104
W760x147,1,7.79,54.5,1.44,18800.0,1660.0,4410.0,298.0,5100.0,52.9,399.0,53.1,631.0,1560.0,7.16,153.0,153.6,623.0,229.0,24.9,14.0,108.0,510.0,56.0,37.0,573.0,2.13,1.91,W24x103
W760x134,2,8.52,60.4,1.31,17000.0,1500.0,4010.0,297.0,4630.0,47.7,361.0,53.0,568.0,1180.0,6.43,140.0,140.1,617.0,230.0,22.2,13.1,108.0,510.0,54.0,37.0,573.0,2.13,1.9,W24x94
W690x802,1,2.15,12.9,7.86,102200.0,10600.0,25700.0,322.0,30900.0,875.0,4520.0,92.6,7140.0,203000.0,119.0,125.0,125.1,612.0,229.0,19.6,11.9,109.0,510.0,51.0,36.0,573.0,2.12,1.89,W24x84
W690x548,1,2.95,18.4,5.38,69800.0,6730.0,17400.0,310.0,20400.0,543.0,2920.0,88.1,4570.0,70700.0,68.2,113.0,113.4,608.0,228.0,17.3,11.2,108.0,510.0,49.0,36.0,573.0,2.11,1.88,W24x76
W690x500,1,3.19,20.2,4.91,63700.0,6060.0,15900.0,308.0,18500.0,487.0,2640.0,87.4,4110.0,54600.0,60.3,101.0,101.7,603.0,228.0,14.9,10.5,109.0,510.0,46.0,35.0,573.0,2.1,1.87,W24x68
W690x457,1,3.46,21.9,4.49,58200.0,5470.0,14500.0,306.0,16800.0,439.0,2390.0,86.7,3720.0,42300.0,53.6,92.0,92.3,603.0,179.0,15.0,10.9,84.0,528.0,38.0,26.0,573.0,1.9,1.72,W24x62
W690x419,1,3.71,24.0,4.11,53300.0,4950.0,13300.0,305.0,15300.0,395.0,2170.0,86.0,3370.0,33000.0,47.7,82.0,81.9,599.0,178.0,12.8,10.0,84.0,528.0,35.0,26.0,573.0,1.89,1.71,W24x55
W690x384,1,4.02,25.9,3.77,48900.0,4490.0,12200.0,303.0,14000.0,357.0,1970.0,85.3,3050.0,25700.0,42.6,409.0,408.6,613.0,327.0,55.6,31.0,148.0,439.0,87.0,46.0,502.0,2.47,2.15,W21x275
W690x350,1,4.4,28.0,3.44,44600.0,4030.0,11100.0,300.0,12600.0,319.0,1770.0,84.4,2740.0,19500.0,37.6,369.0,367.9,603.0,324.0,50.5,27.9,148.0,439.0,82.0,44.0,502.0,2.45,2.12,W21x248
W690x323,1,4.71,30.6,3.18,41100.0,3710.0,10300.0,300.0,11700.0,294.0,1640.0,84.4,2530.0,15700.0,34.4,332.0,331.2,593.0,322.0,45.5,25.4,148.0,439.0,77.0,43.0,502.0,2.42,2.1,W21x223
W690x289,1,5.24,34.0,2.83,36800.0,3260.0,9140.0,298.0,10300.0,256.0,1440.0,83.4,2220.0,11200.0,29.6,300.0,299.5,585.0,319.0,41.4,23.1,148.0,439.0,73.0,42.0,502.0,2.4,2.08,W21x201
W690x255,1,5.93,35.1,2.61,33700.0,2920.0,8270.0,294.0,9330.0,231.0,1290.0,82.7,1980.0,8340.0,26.4,272.0,271.3,577.0,317.0,37.6,21.1,148.0,439.0,89.0,41.0,502.0,2.38,2.06,W21x182
W690x240,1,6.5,38.5,2.36,30600.0,2630.0,7490.0,292.0,8430.0,206.0,1160.0,82.0,1790.0,6270.0,23.4,248.0,246.6,571.0,315.0,34.5,19.0,148.0,439.0,66.0,40.0,502.0,2.36,2.05,W21x166
W690x217,1,7.16,41.9,2.15,27700.0,2360.0,6790.0,291.0,7610.0,185.0,1040.0,81.5,1610.0,4720.0,20.8,219.0,218.9,560.0,318.0,29.2,16.3,150.0,439.0,61.0,39.0,502.0,2.36,2.04,W21x147
