Designation,Class,ba/t,h/w,Dead Load (kN/m),Area (mmý),Ix (10^6 mm?),Sx (10^3 mm?),rx (mm),Zx (10^3 mm?),Iy (10^6 mm?),Sy (10^3 mm?),ry (mm),Zy (10^3 mm?),J (10^3 mm?),Cw (10^9 mm?),Nominal Mass (kg/m),Theoretical Mass (kg/m),Depth d (mm),Flange Width b (mm),Flange Thickness t (mm),Web Thickness w (mm),Distance a (mm),Distance T (mm),Distance k (mm),Distance k? (mm),d-2t (mm),Surface Area Total (mý/m),Surface Area Minus Top Flange (mý/m),Imperial Designation
W690x500,1,3.19,20.2,4.91,63700,6060,15900,308,18500,487,2640,87.4,4110,54600,60.3,101,101.7,603,228,14.9,10.5,109,510,46,35,573,2.1,1.87,W24x68
W690x457,1,3.46,21.9,4.49,58200,5470,14500,306,16800,439,2390,86.7,3720,42300,53.6,92,92.3,603,179,15,10.9,84,528,38,26,573,1.9,1.72,W24x62
W690x419,1,3.71,24,4.11,53300,4950,13300,305,15300,395,2170,86,3370,33000,47.7,82,81.9,599,178,12.8,10,84,528,35,26,573,1.89,1.71,W24x55
W690x384,1,4.02,25.9,3.77,48900,4490,12200,303,14000,357,1970,85.3,3050,25700,42.6,409,408.6,613,327,55.6,31,148,439,87,46,502,2.47,2.15,W21x275
W690x350,1,4.4,28,3.44,44600,4030,11100,300,12600,319,1770,84.4,2740,19500,37.6,369,367.9,603,324,50.5,27.9,148,439,82,44,502,2.45,2.12,W21x248
W690x323,1,4.71,30.6,3.18,41100,3710,10300,300,11700,294,1640,84.4,2530,15700,34.4,332,331.2,593,322,45.5,25.4,148,439,77,43,502,2.42,2.1,W21x223
W690x289,1,5.24,34,2.83,36800,3260,9140,298,10300,256,1440,83.4,2220,11200,29.6,300,299.5,585,319,41.4,23.1,148,439,73,42,502,2.4,2.08,W21x201
W690x255,1,5.93,35.1,2.61,33700,2920,8270,294,9330,231,1290,82.7,1980,8340,26.4,272,271.3,577,317,37.6,21.1,148,439,89,41,502,2.38,2.06,W21x182
W690x240,1,6.5,38.5,2.36,30600,2630,7490,292,8430,206,1160,82,1790,6270,23.4,248,246.6,571,315,34.5,19,148,439,66,40,502,2.36,2.05,W21x166
W690x217,1,7.16,41.9,2.15,27700,2360,6790,291,7610,185,1040,81.5,1610,4720,20.8,219,218.9,560,318,29.2,16.3,150,439,61,39,502,2.36,2.04,W21x147
W690x192,1,4.55,41.7,1.88,24400,1980,5640,285,6460,76.4,602,56,941,4610,8.68,196,196.5,554,316,26.3,16.5,150,438,58,38,501,2.34,2.02,W21x132
W690x170,1,5.42,44.5,1.67,21600,1700,4900,280,5620,66.2,517,55.3,809,3040,7.41,182,181.7,551,315,24.4,15.2,150,439,56,38,502,2.33,2.02,W21x111
W690x152,1,6.02,49.3,1.49,19400,1510,4380,279,5000,57.8,455,54.6,710,2200,6.42,165,165.3,546,313,22.2,14,150,439,54,37,502,2.32,2,W21x101
W690x140,1,6.72,52.1,1.37,17900,1360,3980,276,4550,51.7,407,53.9,636,1670,5.72,150,150.6,543,312,20.3,12.7,150,439,52,36,502,2.31,2,W21x101
W690x125,1,7.76,55.2,1.23,16000,1180,3500,272,4010,44.1,349,52.5,546,1170,4.83,138,138.3,549,214,23.6,14.7,100,461,44,26,502,1.92,1.71,W21x93
W610x551,1,2.51,14.8,5.4,70200,5570,15700,282,18600,484,2790,83,4380,83800,49.9,123,123.2,544,212,21.2,13.1,99,461,42,26,502,1.91,1.7,W21x83
W610x498,1,2.72,16.3,4.89,63500,4950,14200,279,16700,426,2480,81.9,3890,63200,43.1,109,109,539,211,18.8,11.6,100,460,39,25,501,1.9,1.69,W21x73
W610x455,1,2.94,17.9,4.45,57900,4440,12900,277,15100,381,2240,81.1,3500,48800,37.9,101,101.4,537,210,17.4,10.9,100,461,38,24,502,1.89,1.68,W21x68
W610x415,1,3.18,19.4,4.07,52900,4000,11800,275,13700,343,2030,80.5,3160,37700,33.6,92,92.5,533,209,15.6,10.2,99,461,36,24,502,1.88,1.67,W21x62
W610x372,1,3.49,21.7,3.65,47400,3530,10600,273,12200,302,1800,79.8,2800,27700,29.1,82,82.1,528,209,13.3,9.5,100,460,34,24,501,1.87,1.66,W21x55
W610x341,1,3.79,23.5,3.34,43400,3180,9630,271,11100,271,1630,79,2520,21300,25.8,72,72,524,207,10.9,9,99,461,31,24,502,1.86,1.65,W21x48
W610x307,1,4.14,25.9,3.01,39100,2840,8690,269,9930,240,1450,78.2,2240,15900,22.5,85,84.7,535,166,16.5,10.3,78,461,37,24,502,1.71,1.55,W21x57
W610x285,1,4.43,27.8,2.8,36100,2610,8060,268,9170,221,1340,77.9,2070,12800,20.5,74,74.7,529,166,13.6,9.7,78,461,34,24,502,1.7,1.54,W21x50
W610x262,1,4.81,30.2,2.56,33300,2360,7360,266,8350,198,1210,77.2,1870,9900,18.3,66,65.7,525,165,11.4,8.9,78,461,32,23,502,1.69,1.53,W21x44
W610x241,1,5.31,32,2.37,30800,2150,6780,264,7670,184,1120,77.4,1730,7700,16.8,464,464,567,305,69.6,38.6,133,385,91,39,428,2.28,1.97,W18x311
W610x217,1,5.92,34.7,2.14,27700,1910,6070,262,6850,163,995,76.7,1530,5600,14.7,421,421.8,555,302,63.5,35.6,133,385,85,38,428,2.25,1.94,W18x283
W610x195,1,6.7,37.2,1.92,24800,1680,5400,260,6070,142,871,75.6,1340,3970,12.7,384,384.1,545,299,58.4,32.5,133,385,80,36,428,2.22,1.92,W18x258
W610x174,1,7.52,40.9,1.71,22200,1470,4780,257,5360,124,761,74.7,1170,2800,10.9,349,348.9,535,296,53.6,29.5,133,385,75,35,428,2.2,1.9,W18x234
