Designation,Dead Load kN/m,Area mm²,Ix 10? mm?,Sx 10³ mm³,rx mm,Zx 10³ mm³,Iy 10? mm?,Sy 10³ mm³,ry mm,Zy 10³ mm³,J 10³ mm?,Cw 10? mm?,Nominal Mass kg/m,Theoretical Mass kg/m,Depth d mm,Flange Width b mm,Flange Thickness t mm,Web Thickness w mm,a mm,T mm,k mm,k1 mm,d-2t mm,Surface Area Total m²/m,Surface Area Minus Top Flange m²/m,Imperial Designation
W460x286,2.8,36400,1610,6230,210,7240,18.3,1260,70.9,1940,18600,10200,286,285.6,517,291,44.4,24.4,133,385,66,32,428,2.15,1.86,W18x192
W460x260,2.55,33100,1440,5650,208,6530,16.3,1130,70.1,1740,14100,8950,260,259.9,509,289,40.4,22.6,133,385,62,32,428,2.13,1.84,W18x175
W460x235,2.3,29900,1270,5080,206,5840,14.5,1010,69.5,1550,10500,7790,235,234.8,501,287,36.6,20.6,133,384,58,31,428,2.11,1.82,W18x158
W460x213,2.09,27100,1140,4620,205,5270,12.9,909,69.1,1400,7970,6890,213,212.7,495,285,33.5,18.5,133,384,55,30,428,2.09,1.81,W18x143
W460x193,1.9,24700,1020,4190,204,4750,11.5,816,68.5,1250,6030,6060,193,193.3,489,283,30.5,17,133,384,52,29,428,2.08,1.79,W18x130
W460x177,1.74,22600,91,3780,201,4280,10.5,735,68.2,1130,4400,5440,177,177.3,482,286,26.9,16.6,135,385,49,29,428,2.07,1.79,W18x119
W460x158,1.55,20100,79.6,3350,199,3770,9.14,643,67.4,989,3110,4670,158,157.7,476,284,23.9,15,135,385,46,28,428,2.06,1.77,W18x106
W460x144,1.42,18400,72.6,3080,199,3450,8.36,591,67.4,906,2440,4230,144,144.5,472,283,22.1,13.6,135,384,44,27,428,2.05,1.77,W18x97
W460x128,1.26,16300,63.7,2730,197,3050,7.33,520,67,796,1710,3670,128,128.4,467,282,19.6,12.2,135,384,41,26,428,2.04,1.76,W18x86
W460x113,1.11,14400,55.6,2400,196,2670,6.33,452,66.3,691,1180,3150,113,113,463,280,17.3,10.8,135,385,39,26,428,2.02,1.74,W18x76
W460x106,1.04,13400,48.8,2080,190,2390,2.51,259,43.2,405,1460,1260,106,105.7,469,194,20.6,12.6,91,391,39,23,428,1.69,1.49,W18x71
W460x97,0.947,12300,44.5,1910,190,2180,2.28,237,43.1,368,1130,1140,97,96.5,466,193,19,11.4,91,391,38,23,428,1.68,1.49,W18x65
W460x89,0.875,11400,40.9,1770,190,2010,2.09,218,42.9,339,905,1040,89,89.3,463,192,17.7,10.5,91,391,36,22,428,1.67,1.48,W18x60
W460x82,0.803,10500,37,1610,188,1830,1.86,195,42.2,303,690,918,82,81.9,460,191,16,9.9,91,391,35,22,428,1.66,1.47,W18x55
W460x74,0.727,9480,33.2,1460,188,1650,1.66,175,41.9,271,516,813,74,74.2,457,190,14.5,9,91,391,33,22,428,1.66,1.47,W18x50
W460x68,0.672,8710,29.7,1290,184,1490,0.94,122,32.8,192,508,463,68,68.5,459,154,15.4,9.1,72,391,34,22,428,1.52,1.36,W18x46
W460x60,0.584,7610,25.5,1120,183,1280,0.796,104,32.4,163,334,388,60,59.5,455,153,13.3,8,73,391,32,21,428,1.51,1.35,W18x40
W460x52,0.51,6650,21.2,942,179,1090,0.634,83.4,30.9,131,209,306,52,52,450,152,10.8,7.6,72,391,29,21,428,1.49,1.34,W18x35
W410x149,1.46,19000,61.8,2870,180,3250,7.77,586,63.9,900,3210,3200,149,149.3,431,265,25,14.9,125,337,47,28,381,1.89,1.63,W18x100
W410x132,1.3,16900,53.8,2530,179,2850,6.74,512,63.3,785,2250,2730,132,132.1,425,263,22.2,13.3,125,337,44,27,381,1.88,1.61,W18x89
W410x114,1.12,14600,46.1,2200,178,2460,5.72,439,62.7,671,1480,2300,114,114.5,420,261,19.3,11.6,125,338,41,26,381,1.86,1.6,W18x77
W410x100,0.977,12700,39.8,1920,177,2130,4.95,381,62.5,581,993,1960,100,99.6,415,260,16.9,10,125,338,39,25,381,1.85,1.59,W18x67
W410x85,0.833,10800,31.5,1510,171,1720,1.8,199,40.8,310,924,717,85,85,417,181,18.2,10.9,85,340,39,24,381,1.54,1.36,W18x57
W410x74,0.735,9480,27.5,1330,170,1510,1.56,173,40.4,269,636,614,74,74.9,413,180,16,9.7,85,340,37,24,381,1.53,1.35,W18x50
