province,location,elev_m,jan_2_5_C,jan_1_C,jul_2_5_dry_C,jul_2_5_wet_C,degree_days_below_18,rain_15min_mm,one_day_rain_1_50_mm,annual_rain_mm,moisture_index,ann_total_ppn_mm,driving_rain_pressure_Pa,Ss_kPa,Sr_kPa,q_1_10_kPa,q_1_50_kPa,name_ok
Alberta,Campsie,660,-33,-36,27,19,5750,20,86,375,0.6,475,100,1.7,0.1,0.33,0.44,True
Alberta,Camrose,740,-33,-35,29,19,5500,20,86,355,0.5,470,160,2.0,0.1,0.31,0.39,True
Alberta,Canmore,1320,-31,-33,28,17,5400,18,86,325,0.6,500,120,3.2,0.1,0.3,0.37,True
Alberta,Cardston,1130,-29,-32,30,19,4700,20,108,340,0.4,550,140,1.5,0.1,0.58,0.72,True
Alberta,Claresholm,1030,-30,-32,30,18,4680,15,97,310,0.4,440,200,1.3,0.1,0.46,0.58,True
Alberta,Cold Lake,540,-35,-38,28,19,5860,18,81,320,0.5,430,140,1.7,0.1,0.29,0.38,True
Alberta,Coleman,1320,-31,-34,29,18,5210,15,86,400,0.5,550,120,2.7,0.3,0.5,0.63,True
Alberta,Coronation,790,-32,-34,30,19,5640,20,92,300,0.5,400,200,1.9,0.1,0.3,0.37,True
Alberta,Cowley,1175,-29,-32,29,18,4810,15,92,310,0.4,525,140,1.6,0.1,0.81,1.01,True
Alberta,Drumheller,685,-32,-34,30,18,5050,20,86,300,0.4,375,220,1.2,0.1,0.35,0.44,True
Alberta,Edmonton,645,-30,-33,28,19,5120,23,97,360,0.5,460,160,1.7,0.1,0.36,0.45,True
Alberta,Edson,920,-34,-37,27,18,5750,18,81,450,0.6,570,100,2.1,0.1,0.37,0.46,True
Alberta,Embarras Portage,220,-41,-43,28,19,7100,12,81,250,0.6,390,80,2.2,0.1,0.28,0.37,True
Alberta,Fairview,670,-37,-40,27,18,5840,15,86,330,0.5,450,100,2.4,0.1,0.26,0.35,True
Alberta,Fort MacLeod,945,-30,-32,31,19,4600,16,97,300,0.4,425,180,1.2,0.1,0.54,0.68,True
Alberta,Fort McMurray,255,-38,-40,28,19,6250,13,86,340,0.5,460,60,1.5,0.1,0.28,0.35,True
Alberta,Fort Saskatchewan,610,-32,-35,28,19,5420,20,86,350,0.5,425,140,1.6,0.1,0.34,0.43,True
Alberta,Fort Vermilion,270,-41,-43,28,18,6700,13,70,250,0.5,380,60,2.1,0.1,0.23,0.3,True
Alberta,Grande Prairie,650,-36,-39,27,18,5790,20,86,315,0.5,450,120,2.2,0.1,0.32,0.43,True
Alberta,Habay,335,-41,-43,28,18,6750,13,70,275,0.5,425,60,2.4,0.1,0.23,0.3,True
Alberta,Hardisty,615,-33,-36,30,19,5640,20,81,325,0.5,425,140,1.7,0.1,0.29,0.36,True
